4,1
0,0
37673,43960
22550,21830
477,180
266,10
21,1
4,1
1,0
4464,1165
2688,560
328,73
259,51
633,20
202,13
161,10
6067,680
1874,201
1725,150
498,40
7694,800
3433,575
1993,275
179,20
591,35
3394,721
359,15
84,21
35,7
17237,5070
13901,2000
7659,1110
3075,348
2370,250
454,45
749,100
312,50
46102,11221
30,5000
15,2
5247648,1433700
1537132,504670
916321,228611
874491,301480
723159,182297
468498,104330
318823,65
250901,89
193844,142910
179440,67052
167246,39440
158693,40245
132226,28534
125019,27360
41437,28411
25436,3039
10785,1908
175,5
14,2
761,440
34480,7545
3169,21
1211,10
685,6
522,4
56,1
10,1
2080,950
201,46
60,1
9,2
1,1
1,1
40883,14000
35606,15750
31925,10400
16099,7000
880,200
7825,2550
13,3
2569664,742398
860231,270920
719372,230920
521193,164930
285954,117476
280426,86770
161976,48720
96240,33540
87285,30770
77693,24733
39840,12000
27894,7113
412,107
97,13
54,13
29829,9000
27999,4000
8593,2471
28,2
576059,170460
121338,38520
105405,34560
38588,12610
309,62
266,58
244,20
1740,600
1664889,339886
1314595,267520
578597,125420
237249,46330
171028,37639
114933,21288
101325,17051
94855,19136
62082,11260
56248,10200
34938,6268
32239,7980
21515,4054
2651,328
962,59
4,25
32073,15646
99412,41500
3960,680
1950,600
140117,71500
47274,14399
18196,4550
7492,1425
6570,3000
3988,1200
2098,1000
4608,1050
1948354,1014609
237156,117000
233389,128800
187829,109600
169602,100008
161591,78600
31907,10840
21467,8500
10044,7000
3741,1400
3069,1230
2715,652
1217,600
223,100
64,15
41,10
26,10
2,4
11615,2840
40118,2100
96,11
953,120
130,10
9,1
11223,2842
4326,700
1878,80
1112,77
216,11
22,0
0,0
101076,2720
13164,340
113528,19440
47129,7920
1982,360
753,62
425,50
9,1
1,1
8510,1050
2894,180
1579,340
420,50
1821075,247876
115,40
34776,4320
18931,2350
0,1
9813097,1251043
594684,101700
519262,9400
504085,69120
203687,24378
191908,31693
118792,13050
102647,991
92456,9675
54565,14080
18072,1800
10930,287
9484,807
9096,1300
6603,1832
3443,336
2040,380
1591,152
406,1
324,0
321,20
10,2
19145,5734
106,50
43302354,30873182
658520,417350
556912,319380
48123,29963
10,4
17164,6726
56892,13200
14029,3431
2099,125
14048,5940
12900,2000
1644090,1000000
367887,200768
74978,39961
30020,9716
13306,4618
1900,600
1691,352
773,129
0,0
313325,83887
28845,309
23507,521
12362,149
8001,131
7523,260
3593,59
3052,77
1901,30
1779,28
1378,30
950,16
572,10
28492,6800
19,1
19461,2160
691,51
1458,350
1,1
1350,1250
626,200
295,55
6,1
1,0
181440,24000
4010,1000
1679,300
102079,6400
35832,2250
15329,1050
10980,300
6341,210
2891,90
113030,27000
21624,2500
21521,4050
16555,3500
